Full Name,Gender,Location,Name,Role,StaffID,Surname,Username
Imogen Gibbs,Female,Scotland,Imogen,Branch Manager,1197,Gibbs,imogen.gibbs@sedismart.com
Imogen Glover,Female,Scotland,Imogen,Account Handler,45,Glover,imogen.glover@sedismart.com
Jack Jarvis,Male,England,Jack,Branch Manager,1140,Jarvis,jack.jarvis@sedismart.com
Jacob Spencer,Male,Wales,Jacob,Account Handler,35,Spencer,jacob.spencer@sedismart.com
Jeanette McDonald,Female,Scotland,Jeanette,Account Handler,53,McDonald,jeanette.mcdonald@sedismart.com
Joseph Fisher,Male,England,Joseph,Account Handler,34,Fisher,joseph.fisher@sedismart.com
Joshua Holmes,Male,England,Joshua,Account Handler,16,Holmes,joshua.holmes@sedismart.com
Kian Thompson,Male,England,Kian,Account Handler,19,Thompson,kian.thompson@sedismart.com
Kyle Wheeler,Male,Scotland,Kyle,Branch Manager,1060,Wheeler,kyle.wheeler@sedismart.com
Laura Khan,Female,England,Laura,Account Handler,5,Khan,laura.khan@sedismart.com
Laura Winter,Female,N Ireland,Laura,Account Handler,40,Winter,laura.winter@sedismart.com
Laurence Dickinson,Male,England,Laurence,Branch Manager,1160,Dickinson,laurence.dickinson@sedismart.com
Leo Davies,Male,N Ireland,Leo,Account Handler,65,Davies,leo.davies@sedismart.com
Lewis Francis,Male,England,Lewis,Account Handler,56,Francis,lewis.francis@sedismart.com
Liam Grant,Male,Scotland,Liam,Account Handler,7,Grant,liam.grant@sedismart.com
Lilly Watson,Female,England,Lilly,Account Handler,21,Watson,lilly.watson@sedismart.com
Lucy Campbell,Female,England,Lucy,Account Handler,28,Campbell,lucy.campbell@sedismart.com
Luke Bradley,Male,N Ireland,Luke,Account Handler,61,Bradley,luke.bradley@sedismart.com
Luke Cole,Male,England,Luke,Account Handler,39,Cole,luke.cole@sedismart.com
Lydia Lewis,Female,N Ireland,Lydia,Account Handler,69,Lewis,lydia.lewis@sedismart.com
Mason Evans,Male,Scotland,Mason,Account Handler,73,Evans,mason.evans@sedismart.com
Megan Lee,Female,Scotland,Megan,Account Handler,78,Lee,megan.lee@sedismart.com
Millie Macdonald,Female,England,Millie,Account Handler,33,Macdonald,millie.macdonald@sedismart.com
Mollie Jackson,Female,England,Mollie,Account Handler,30,Jackson,mollie.jackson@sedismart.com
Nathan McDonald,Male,N Ireland,Nathan,Account Handler,64,McDonald,nathan.mcdonald@sedismart.com
Niamh Bradshaw,Female,Scotland,Niamh,Account Handler,44,Bradshaw,niamh.bradshaw@sedismart.com
Nicole Howell,Female,Wales,Nicole,Account Handler,46,Howell,nicole.howell@sedismart.com
Nicole Jones,Female,England,Nicole,Account Handler,2,Jones,nicole.jones@sedismart.com
Noah Graham,Male,Wales,Noah,Branch Manager,1213,Graham,noah.graham@sedismart.com
Noah Johnson,Male,England,Noah,Account Handler,20,Johnson,noah.johnson@sedismart.com
Oscar Lewis,Male,Scotland,Oscar,Account Handler,25,Lewis,oscar.lewis@sedismart.com
Owen Harper,Male,England,Owen,Account Handler,24,Harper,owen.harper@sedismart.com
Patricia Harmsworth,Female,England,Patricia,Account Handler,58,Harmsworth,patricia.harmsworth@sedismart.com
Reuben Scott,Male,England,Reuben,Account Handler,12,Scott,reuben.scott@sedismart.com
Rhys Jones,Male,N Ireland,Rhys,Account Handler,41,Jones,rhys.jones@sedismart.com
Rob Jayner,Male,England,Rob,Account Handler,55,Jayner,rob.jayner@sedismart.com
Roger Connor,Male,N Ireland,Roger,Branch Manager,1182,Connor,roger.connor@sedismart.com
Rosemary Hill,Female,England,Rosemary,Branch Manager,1118,Hill,rosemary.hill@sedismart.com
Rosie Nolan,Female,N Ireland,Rosie,Account Handler,50,Nolan,rosie.nolan@sedismart.com
Rosie Robinson,Female,England,Rosie,Account Handler,10,Robinson,rosie.robinson@sedismart.com
Sam Watson,Male,England,Sam,Account Handler,11,Watson,sam.watson@sedismart.com
Sarah Carey,Female,Wales,Sarah,Account Handler,49,Carey,sarah.carey@sedismart.com
Skye Williams,Female,England,Skye,Account Handler,13,Williams,skye.williams@sedismart.com
Sofia Wood,Female,Scotland,Sofia,Account Handler,75,Wood,sofia.wood@sedismart.com
Taylor Gallagher,Male,N Ireland,Taylor,Account Handler,51,Gallagher,taylor.gallagher@sedismart.com
Tilly Stewart,Female,Wales,Tilly,Account Handler,3,Stewart,tilly.stewart@sedismart.com
Toby White,Male,Scotland,Toby,Account Handler,70,White,toby.white@sedismart.com
Tyler Pearson,Male,England,Tyler,Account Handler,22,Pearson,tyler.pearson@sedismart.com
Tyler Rhodes,Male,N Ireland,Tyler,Account Handler,42,Rhodes,tyler.rhodes@sedismart.com
Zachary Moore,Male,England,Zachary,Account Handler,14,Moore,zachary.moore@sedismart.com
