,region,sales_person,account
2521,Midwest,Carletta Kosinski,Danaher
2537,Midwest,Carletta Kosinski,Dollar General
2540,Midwest,Carletta Kosinski,Dollar General
2541,Midwest,Carletta Kosinski,Dollar General
2542,Midwest,Carletta Kosinski,Dollar General
2539,Midwest,Carletta Kosinski,Dollar General
2534,Midwest,Carletta Kosinski,Dollar General
2523,Midwest,Carletta Kosinski,Dollar General
2535,Midwest,Carletta Kosinski,Dollar General
2525,Midwest,Carletta Kosinski,Dollar General
2526,Midwest,Carletta Kosinski,Dollar General
2527,Midwest,Carletta Kosinski,Dollar General
2528,Midwest,Carletta Kosinski,Dollar General
2524,Midwest,Carletta Kosinski,Dollar General
2536,Midwest,Carletta Kosinski,Dollar General
2530,Midwest,Carletta Kosinski,Dollar General
2531,Midwest,Carletta Kosinski,Dollar General
2532,Midwest,Carletta Kosinski,Dollar General
2533,Midwest,Carletta Kosinski,Dollar General
2529,Midwest,Carletta Kosinski,Dollar General
2538,Midwest,Carletta Kosinski,Dollar General
3074,Midwest,Delilah Krum,Hartford Financial Services Group
3075,Midwest,Delilah Krum,Hartford Financial Services Group
3076,Midwest,Delilah Krum,Hartford Financial Services Group
3077,Midwest,Delilah Krum,Hartford Financial Services Group
3078,Midwest,Delilah Krum,Hartford Financial Services Group
3079,Midwest,Delilah Krum,Hartford Financial Services Group
3080,Midwest,Delilah Krum,Hartford Financial Services Group
3081,Midwest,Delilah Krum,Hartford Financial Services Group
3083,Midwest,Delilah Krum,Hartford Financial Services Group
3082,Midwest,Delilah Krum,Hartford Financial Services Group
2507,Midwest,Carletta Kosinski,International Paper
2508,Midwest,Carletta Kosinski,International Paper
2510,Midwest,Carletta Kosinski,International Paper
2511,Midwest,Carletta Kosinski,International Paper
2512,Midwest,Carletta Kosinski,International Paper
2513,Midwest,Carletta Kosinski,International Paper
2514,Midwest,Carletta Kosinski,International Paper
2515,Midwest,Carletta Kosinski,International Paper
2509,Midwest,Carletta Kosinski,International Paper
2517,Midwest,Carletta Kosinski,International Paper
2518,Midwest,Carletta Kosinski,International Paper
2519,Midwest,Carletta Kosinski,International Paper
2520,Midwest,Carletta Kosinski,International Paper
2516,Midwest,Carletta Kosinski,International Paper
3072,Midwest,Delilah Krum,Kimberly-Clark
3073,Midwest,Delilah Krum,Kimberly-Clark
3069,Midwest,Delilah Krum,Kimberly-Clark
3068,Midwest,Delilah Krum,Kimberly-Clark
3067,Midwest,Delilah Krum,Kimberly-Clark
3066,Midwest,Delilah Krum,Kimberly-Clark
3065,Midwest,Delilah Krum,Kimberly-Clark
3064,Midwest,Delilah Krum,Kimberly-Clark
3062,Midwest,Delilah Krum,Kimberly-Clark
3061,Midwest,Delilah Krum,Kimberly-Clark
3060,Midwest,Delilah Krum,Kimberly-Clark
3071,Midwest,Delilah Krum,Kimberly-Clark
3063,Midwest,Delilah Krum,Kimberly-Clark
3070,Midwest,Delilah Krum,Kimberly-Clark
2494,Midwest,Carletta Kosinski,McDonald's
2493,Midwest,Carletta Kosinski,McDonald's
2492,Midwest,Carletta Kosinski,McDonald's
2491,Midwest,Carletta Kosinski,McDonald's
2482,Midwest,Carletta Kosinski,McDonald's
2489,Midwest,Carletta Kosinski,McDonald's
2483,Midwest,Carletta Kosinski,McDonald's
2484,Midwest,Carletta Kosinski,McDonald's
2485,Midwest,Carletta Kosinski,McDonald's
2490,Midwest,Carletta Kosinski,McDonald's
2486,Midwest,Carletta Kosinski,McDonald's
2487,Midwest,Carletta Kosinski,McDonald's
2488,Midwest,Carletta Kosinski,McDonald's
2504,Midwest,Carletta Kosinski,Northrop Grumman
2505,Midwest,Carletta Kosinski,Northrop Grumman
2506,Midwest,Carletta Kosinski,Northrop Grumman
2502,Midwest,Carletta Kosinski,Northrop Grumman
2501,Midwest,Carletta Kosinski,Northrop Grumman
2500,Midwest,Carletta Kosinski,Northrop Grumman
2495,Midwest,Carletta Kosinski,Northrop Grumman
2496,Midwest,Carletta Kosinski,Northrop Grumman
2497,Midwest,Carletta Kosinski,Northrop Grumman
2498,Midwest,Carletta Kosinski,Northrop Grumman
2499,Midwest,Carletta Kosinski,Northrop Grumman
2503,Midwest,Carletta Kosinski,Northrop Grumman
2922,Midwest,Delilah Krum,Plains GP Holdings
2921,Midwest,Delilah Krum,Plains GP Holdings
2920,Midwest,Delilah Krum,Plains GP Holdings
2919,Midwest,Delilah Krum,Plains GP Holdings
2918,Midwest,Delilah Krum,Plains GP Holdings
3029,Midwest,Delilah Krum,Southwest Airlines
3018,Midwest,Delilah Krum,Southwest Airlines
3017,Midwest,Delilah Krum,Southwest Airlines
3016,Midwest,Delilah Krum,Southwest Airlines
3015,Midwest,Delilah Krum,Southwest Airlines
3014,Midwest,Delilah Krum,Southwest Airlines
3013,Midwest,Delilah Krum,Southwest Airlines
3012,Midwest,Delilah Krum,Southwest Airlines
3011,Midwest,Delilah Krum,Southwest Airlines
3010,Midwest,Delilah Krum,Southwest Airlines
3009,Midwest,Delilah Krum,Southwest Airlines
3007,Midwest,Delilah Krum,Southwest Airlines
3019,Midwest,Delilah Krum,Southwest Airlines
3006,Midwest,Delilah Krum,Southwest Airlines
3005,Midwest,Delilah Krum,Southwest Airlines
3004,Midwest,Delilah Krum,Southwest Airlines
3003,Midwest,Delilah Krum,Southwest Airlines
3002,Midwest,Delilah Krum,Southwest Airlines
3001,Midwest,Delilah Krum,Southwest Airlines
3000,Midwest,Delilah Krum,Southwest Airlines
2999,Midwest,Delilah Krum,Southwest Airlines
3008,Midwest,Delilah Krum,Southwest Airlines
3027,Midwest,Delilah Krum,Southwest Airlines
3020,Midwest,Delilah Krum,Southwest Airlines
3022,Midwest,Delilah Krum,Southwest Airlines
3030,Midwest,Delilah Krum,Southwest Airlines
3031,Midwest,Delilah Krum,Southwest Airlines
3032,Midwest,Delilah Krum,Southwest Airlines
3033,Midwest,Delilah Krum,Southwest Airlines
3034,Midwest,Delilah Krum,Southwest Airlines
3035,Midwest,Delilah Krum,Southwest Airlines
3036,Midwest,Delilah Krum,Southwest Airlines
3037,Midwest,Delilah Krum,Southwest Airlines
3038,Midwest,Delilah Krum,Southwest Airlines
3039,Midwest,Delilah Krum,Southwest Airlines
3040,Midwest,Delilah Krum,Southwest Airlines
3021,Midwest,Delilah Krum,Southwest Airlines
3041,Midwest,Delilah Krum,Southwest Airlines
3043,Midwest,Delilah Krum,Southwest Airlines
3044,Midwest,Delilah Krum,Southwest Airlines
3045,Midwest,Delilah Krum,Southwest Airlines
3046,Midwest,Delilah Krum,Southwest Airlines
3047,Midwest,Delilah Krum,Southwest Airlines
3048,Midwest,Delilah Krum,Southwest Airlines
3049,Midwest,Delilah Krum,Southwest Airlines
3026,Midwest,Delilah Krum,Southwest Airlines
3025,Midwest,Delilah Krum,Southwest Airlines
3024,Midwest,Delilah Krum,Southwest Airlines
3023,Midwest,Delilah Krum,Southwest Airlines
3042,Midwest,Delilah Krum,Southwest Airlines
3028,Midwest,Delilah Krum,Southwest Airlines
